id,name,applicability,country_id:id
vat_report_tag44,"ТТ3а: Чөлөөлөгдөх үйлдвэрлэл, үйлчилгээнд зориулж авсан бараа, ажил, үйлчилгээнд төлсөн НӨАТ (44)",taxes,base.mn
vat_report_tag45,"ТТ3а: Хайгуулын ажил болон ашиглалтын өмнөх үйл ажиллагаанд зориулж импортоор авсан бараа, ажил, үйлчилгээнд төлсөн НӨАТ (45)",taxes,base.mn
vat_report_tag46,"ТТ3а: Импортоор оруулсан бусад хамааралгүй бараа, ажил, үйлчилгээнд төлсөн НӨАТ (46)",taxes,base.mn
vat_report_tag48,ТТ3а: Cанхүүгийн түрээсээр дотоодын зах зээлд борлуулсны орлого (48),taxes,base.mn
vat_report_tag49,"ТТ3а: Факторинг, форфайтинг хэлцлийн үйлчилгээний орлого (49)",taxes,base.mn
vat_report_tag51,ТТ3а: Санхүүгийн түрээсийн зүйлийг худалдан авахад төлсөн түрээсийн төлбөр (51),taxes,base.mn
vat_report_tag52,"ТТ3а: Факторинг, форфайтинг хэлцлийг авахад төлсөн төлбөр (52)",taxes,base.mn
vat_report_tag58,"ТТ3а: Борлуулалтын орлогын буцаалт, хөнгөлөлт (58)",accounts,
vat_report_tag59,"ТТ3а: Худалдан авалтын буцаалт, хөнгөлөлт (59)",accounts,
tax_report_tag2,ТТ02: Татвараас чөлөөлөгдөх орлого (2),accounts,
tax_report_tag4,ТТ02: Бусад орлогын дүн (4),accounts,
tax_report_tag6,ТТ02: Үндсэн ажил үйлчилгээний орлого (6),accounts,
tax_report_tag7,"ТТ02: Төлбөрт таавар, бооцоот тоглоом, эд мөнгөний хонжворт сугалааны үйл ажиллагааны орлого (7)",accounts,
tax_report_tag8,"ТТ02: Техникийн, удирдлагын, зөвлөхийн болон бусад үйлчилгээний орлого (8)",accounts,
tax_report_tag9,"ТТ02: Үнэ төлбөргүйгээр бусдаас авсан бараа, ажил, үйлчилгээний орлого (9)",accounts,
tax_report_tag10,ТТ02: Үл хөдлөх эд хөрөнгө ашиглуулсан болон түрээслүүлсний орлого (10),accounts,
tax_report_tag11,ТТ02: Хөдлөх хөрөнгө ашиглуулсан болон түрээслүүлсний орлого (11),accounts,
tax_report_tag12,"ТТ02: Хувьцаа, үнэт цаас, санхүүгийн бусад хэрэгсэл борлуулсны орлого (12)",accounts,
tax_report_tag13,"ТТ02: Бусад биет бус хөрөнгө болон хөдлөх эд хөрөнгө борлуулсан, шилжүүлсний орлого /хуулийн 10.1.2, 10.1.3- т заасан орлогоос бусад/ (13)",accounts,
tax_report_tag14,"ТТ02: Гэрээгээр хүлээсэн үүргээ биелүүлээгүй этгээдээс авсан хүү, анз / торгууль, алданги/, хохирлын нөхөн төлбөрийн орлого (14)",accounts,
tax_report_tag15,ТТ02: Гадаад валютын ханшийн зөрүүгийн бодит орлого (15),accounts,
tax_report_tag16,ТТ02: Албан татвар ногдох бусад орлого (16),accounts,
tax_report_tag22,"ТТ02: Татвар төлөхийн өмнөх ашиг, алдагдлыг нэмэгдүүлэх дүн (22)",accounts,
tax_report_tag23,"ТТ02: Татвар төлөхийн өмнөх ашиг, алдагдлыг бууруулах дүн (23)",accounts,
tax_report_tag25,ТТ02: Сайн дурын даатгалын хураамжийн хэтрэлт (25),accounts,
tax_report_tag27,ТТ02: Өмнөх жилүүдийн татварын тайлангаар гарсан татварын албаар баталгаажуулсан алдагдлаас тайлант хугацаанд шилжүүлсэн дүн (27),accounts,
tax_report_tag30,ТТ02: Хуулийн 22.5-д заасны дагуу хөнгөлөгдөх татвар (30),accounts,
tax_report_tag33,"ТТ02: Төрийн байгууллагаас олгосон эрх борлуулсан, шилжүүлсний орлого (33)",accounts,
tax_report_tag34,"ТТ02: Төрийн байгууллагаас эрх олгосон тохиолдолд эрх авахтай холбогдон төрийн байгууллагад төлсөн баримтаар нотлогдох төлбөр, хураамж (34)",accounts,
tax_report_tag35,"ТТ02: Бусдаас худалдаж, шилжүүлж авсан тохиолдолд хэлцлийн дагуу худалдах, шилжүүлэн авахад төлсөн, шилжүүлсэн баримтаар нотлогдох төлбөр (35)",accounts,
tax_report_tag36,ТТ02: Хонжворт олгосон мөнгө болон барааны үнэ (36),accounts,
tax_report_tag38,ТТ02: Эрхийн шимтгэлийн орлого (38),accounts,
tax_report_tag39,ТТ02: Ногдол ашгийн орлого (39),accounts,
tax_report_tag40,"TT02: Байгаль орчинд нөлөөлөх байдлын үнэлгээний тухай хуулийн 9.11, Газрын тосны тухай хуулийн 11.1.4,12.5-д заасны дагуу буцаан олгосон мөнгөн хөрөнгө (40)",accounts,
tax_report_tag41,ТТ02: Даатгалын нөхөн төлбөрийн орлого (41),accounts,
tax_report_tag42,ТТ02: Хүүгийн орлого (42),accounts,
tax_report_tag44,"ТТ02: Монгол Улсын арилжааны банкны гадаад, дотоодын эх үүсвэрээс татсан зээл, өрийн хэрэгслийн хүүгийн орлого (44)",accounts,
tax_report_tag45,"ТТ02: Монгол Улсад байрладаг албан татвар төлөгчийн гадаад, дотоодын үнэт цаасны анхдагч болон хоёрдогч (45)",accounts,
tax_report_tag46,ТТ02: Ногдол ашгийн орлого (46),accounts,
tax_report_tag47,"ТТ02: Үл хөдлөх эд хөрөнгө борлуулсан, шилжүүлсний орлого (47)",accounts,
tax_report_tag48,ТТ02: Эрхийн шимтгэлийн орлого (48),accounts,
tax_report_tag50,ТТ02: Эрх борлуулсны орлого (50),accounts,
tax_report_tag52,ТТ02: Хуулийн дагуу бусдад суутгуулсан албан татвар (52),accounts,
tax_report_tag53,ТТ02: Төлбөл зохих албан татвараас хасагдах гадаад улсад ногдуулан төлсөн албан татвар (53),accounts,
tax_report_tag55,ТТ02: Хуулийн 22.1-т заасны дагуу албан татварыг хөнгөлөн буцаан авахаар тооцсон дүн (55),accounts,
tax_report_tag57,ТТ02: Хуулийн дагуу тайлант хугацаанд хөнгөлөх албан татвар (57),accounts,
tax_report_tag58,ТТ02: Хуулийн дагуу чөлөөлөх албан татвар (58),accounts,
